doi,name,affiliation,publisher,type
10.5281/zenodo.3258201,"Verhoeven, Stefan",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.3258170,"Verhoeven, Stefan",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.3233752,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.3269519,"Russell, Tom",University of Oxford,Zenodo,Software
10.5281/zenodo.3257972,"Verhoeven, Stefan",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.3240287,"Hollander, Gilles De",Vrije Universiteit,Zenodo,Software
10.5281/zenodo.3228161,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.3243382,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.3228493,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.3240114,"Hollander, Gilles De",Vrije Universiteit,Zenodo,Software
10.5281/zenodo.2582751,"Zapata, Felipe",@NLeSC,Zenodo,Software
10.5281/zenodo.2645215,"Keating, Sarah M",Heidelberg University,Zenodo,Software
10.5281/zenodo.2645216,"Keating, Sarah M",Heidelberg University,Zenodo,Software
10.5281/zenodo.2713720,"Fuchs, Per",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.2713721,"Fuchs, Per",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1495098,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.2576894,"Zapata, Felipe",@NLeSC,Zenodo,Software
10.5281/zenodo.2559433,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.2559390,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.2542638,"Huntenburg, Julia",Max-Planck Institute for Human Cognitive and Brain Sciences,Zenodo,Software
10.5281/zenodo.2511817,"Sar, Jerom Van Der",Delft University of Technology,Zenodo,Software
10.5281/zenodo.2511818,"Sar, Jerom Van Der",Delft University of Technology,Zenodo,Software
10.5281/zenodo.2560701,"Corò, Federico",Gran Sasso Science Institute,Zenodo,Software
10.5281/zenodo.2560702,"Corò, Federico",Gran Sasso Science Institute,Zenodo,Software
10.5281/zenodo.1464758,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1464750,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1464739,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1495079,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1495075,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1476976,"Hollander, Gilles De",Vrije Universiteit,Zenodo,Software
10.5281/zenodo.1476977,"Hollander, Gilles De",Vrije Universiteit,Zenodo,Software
10.5281/zenodo.1463839,"Hollander, Gilles De",Vrije Universiteit,Zenodo,Software
10.5281/zenodo.1464709,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1420494,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1343616,"Andreadis, Georgios",Delft University of Technology,Zenodo,Software
10.5281/zenodo.1343615,"Andreadis, Georgios",Delft University of Technology,Zenodo,Software
10.5281/zenodo.1326430,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1326429,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1326426,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1326425,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1326421,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1326420,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1324231,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1324230,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1304309,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1304310,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1326484,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1326485,"Hijma, Pieter",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1284532,"Marie, Guillaume","Vrije Universiteit Amsterdam, Faculty of Science, 1081 HV, the Netherlands",Zenodo,Software
10.5281/zenodo.1284533,"Marie, Guillaume","Vrije Universiteit Amsterdam, Faculty of Science, 1081 HV, the Netherlands",Zenodo,Software
10.5281/zenodo.1209369,"Verhoeven, Stefan",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.1212224,"Verhoeven, Stefan",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.1209217,"Verhoeven, Stefan",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.1168400,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1168384,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1168906,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1168896,"Keating, Sarah M",European Bioinformatics Institute EMBL-EBI,Zenodo,Software
10.5281/zenodo.1168895,"Keating, Sarah M",European Bioinformatics Institute EMBL-EBI,Zenodo,Software
10.5281/zenodo.1140396,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1043813,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1095483,"Keating, Sarah",EMBL-EBI,Zenodo,Software
10.5281/zenodo.1095482,"Keating, Sarah",EMBL-EBI,Zenodo,Software
10.5281/zenodo.1101090,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1063967,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.997294,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.997272,"Verhoeven, Stefan",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.997273,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1064392,"Meroño-Peñuela, Albert",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1043818,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1051029,"Zapata, Felipe",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.1051030,"Zapata, Felipe",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.1045514,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1033752,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1033753,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.1002077,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.997332,"Verhoeven, Stefan",Netherlands eScience Center,Zenodo,Software
10.5281/zenodo.997333,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.887901,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.833391,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.833372,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.833402,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.580258,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.598163,"Ardia, David",University of Neuchâtel,Zenodo,Software
10.5281/zenodo.345847,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.556535,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.168569,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.321906,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.240491,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.344809,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.259573,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.249018,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.254144,"Verhoeven, Stefan",Nederlands eScience Center,Zenodo,Software
10.5281/zenodo.231321,"Ardia, David",University of Neuchâtel,Zenodo,Software
10.5281/zenodo.231327,"Ardia, David",University of Neuchâtel,Zenodo,Software
